"Depth Limit","Generated Nodes","Visited Nodes","Time Taken (ms)"
"1","13","13","0.0"
"2","102","102","35.0"
"3","605","605","62.0"
"4","2993","2993","270.0"
"5","12647","12647","877.0"
"6","46926","46926","1877.0"
"7","157477","157477","7639.0"
"8","486199","486199","24296.0"
"9","1398739","1398739","78546.0"
"10","3789324","3789324","206862.0"
"11","9786981","9786981","587935.0"
"12","24286626","24286626","1680572.0"
"13","58146620","58146620","4692563.0"
"14","134630077","134630077","1.3670525E7"
